track_id,track_name,artist_name,release_year,duration_ms
001BOHdoj8NYjhwG89Shf3,"We, Always",VRSTY,2022,228200
005drRcJJFgFHgtxSJJO0v,Fuck Everything,Suicide Silence,2012,273613
009MFLQ8i6P2VeJp4ivex6,Right Now,PnB Rock,2019,121108
00AxNl4D4jHL2AEf1W55j5,What The Hell Did I Say,Dierks Bentley,2016,207333
00c6I4e1BL1vqbD97KIh50,Traveling Alone,Tom The Mail Man,2019,160165
00EtjLDSacHSV8pBe8dWYk,Rape Robbery & Violence,"PIG, KMFDM",2024,351954
00imgaPlYRrMGn9o83hfmk,LOOSE CHANGE,Brent Faiyaz,2022,226011
00ltEEGcokJmeGgoOAAjTk,Teen Romance,lilster,2021,169281
00n83h3zn2IrySO4Q4aTrG,Down With Me,Lil Tecca,2024,120034
00NUqFMIpCsrYPbM9YpVHQ,MegaMan,Lil Wayne,2011,198280
00PesUdTmC3Y5xtZbZND0p,Hard For Me,Michele Morrone,2020,177946
00qMkskAkuLiryozJpiuC3,Kill the Whites/Demise of a Dream,Mescaline Maniacs,2021,99201
00qVi8f2tsIVsYhvCBR2Om,AGXNY,Kill Dyll,2024,94171
00RaykzZO1vFk3eSSxHYHV,Dirt,BONES,2013,140251
00RsQGAp58K9CZmKGWABGB,Nails,Call Me Karizma,2020,200571
00tgnf5ScgADRonUzRHhFm,Ling Ling,Heembeezy,2020,193097
00WB8iObyyothyu4W3BTqa,Shit On You,D12,2005,328213
0110a0AM2nOV8yYa9u6kjQ,Love Me Like a Friend,Fly By Midnight,2019,202266
0133JRw2nnmlnaqPSH5opU,Honey Punch,Mannequin Death Squad,2022,140530
014V6u9VubefjaPPl1QkTJ,Phenomenal,Eminem,2015,282546
01aquzGS1kNFHdnnonHWbs,Pyramid Scheme,"Mat Zo, Chuck D",2013,210839
01DwiJZPBJrW21ge8ElLMM,Out of Bounds,Benji Blue Bills,2023,139871
01EyucDcdBiixZdeGkmXmz,Ledger,"Lacrim, PLK",2024,149120
01gNiOqg8u7vT90uVgOVmz,Whole Lotta Lovin',"Mustard, Travis Scott",2016,299160
01kOu8BA8yzAHx9LUidTi9,All For Me,"Trippie Redd, Smokepurpp",2019,164780
01Lr5YepbgjXAWR9iOEyH1,Love Sosa,Chief Keef,2012,246213
01ve4Yns1iSXwBwpNAhOYP,About U,"Reel Mood, Tima Dee",2022,193920
01VzuxoBYMAJLObfU0w6dI,ADDICTIONS,"Brent Faiyaz, Tre' Amani",2022,192010
01Zkt0rcNwjAY0xWr4JXpW,Start Recording,"Mike Flips, Kick a Dope Verse!",2022,162264
02cKjhV0ZAWEsvQ8XS8WFC,Trip on a Spiderweb,Witchouse 40k,2019,125121
02DFzKT2hYktNTimdFqU88,Recuperate,Lud Foe,2018,192052
02fkJ4Y3oLO0VOKjM3w7yW,On Your Side,The Last Dinner Party,2023,267977
02GNxTDR51UHNxpPceqg9P,Dog Teeth,Nicole Dollanganger,2012,161500
02NcZ0ugRA786A64bnsnnc,Twisted Transistor,Korn,2005,188226
02T93EKT0psTxsxsfYb4sz,Loyal to None,Kublai Khan TX,2022,152733
02XjwOinYN24CqCQgOj0HB,Kingmaker,Great American Ghost,2021,209586
031uTUhyy6xmDJqmeWJBi9,God Hates Us,Avenged Sevenfold,2010,319186
032UZ3KVrzII6AE9Abnj7z,Go Off,Doja Cat,2023,197493
033XHRodS00XmHxTuVlHNt,Look What We've Become,Grace Potter,2015,191853
