track_id,track_name,artist_name,release_year,duration_ms
01DidSmPasiXdPhDVuaULL,Leave A Trace,CHVRCHES,2015.0,237481.0
02w94vLayINXQjwPUKhJGP,It's Alright with Me,Part Time,2021.0,310370.0
0BhtcoMmv2ifcPQJv0edSy,Turn On Your Love Light,"Bobby ""Blue"" Bland",1994.0,158306.0
0DRh0T7UkzpnjoKtU6zVod,Open Up Your Eyes,Tonic,1996.0,220493.0
0DS4lzBkarJ3mgBpDaOZrX,DONT TALK ABOUT IT,SkyDxddy,2023.0,155808.0
0F9JMMcIFrjuWeBJTEBFLo,Wanderer,The Wind Covenant,2021.0,199405.0
0IaD4aUD3OEZksQxwIDoLo,Standing Still,Max Alan,2024.0,266000.0
0JbVh3zDHYgVb1QxoNG0hu,Stop Crying Your Heart Out,Oasis,2002.0,303133.0
0c2yZp1tTYAUiKraMdS8Yg,Missing You,All Time Low,2015.0,244823.0
0d3qwh4HY9w6Ywywj6ksTv,Lay It Down,Ratt,1984.0,205466.0
0fquz4oq993jBrScuhVyKl,Neck Deep,Title Fight,2009.0,145760.0
0iVRfuMRRmrb6uuWPSBA7T,Sensitive Nipple,Avec Plaisir,2020.0,133750.0
0jY829pCMnstlNtaE72vSB,Decadence,Disturbed,2005.0,204786.0
0ld7shxVOeRIVcQPlYfAKL,The Poison,Bullet For My Valentine,2005.0,219466.0
0MtfUEHee9p6RsqAwW8gyF,My Home,Myles Smith,2023.0,206250.0
0OSvfJNY2kFt1XOUbLq61y,Hopeful Day,Juliette,2024.0,148653.0
0qdzdBNLU6BAxTCt8FLptu,Mindreader,Electric Callboy,2022.0,225000.0
0R3V1qnan4rbDvoubYi5Zu,Break The Cycle,Bodysnatcher,2020.0,235239.0
0rYXSQ5SztqtP3DfBAHoA6,Lift Me Up,Darius Rucker,2023.0,189255.0
0Tr5G2mE56eLUGvCaXRM8I,No Good,KALEO,2016.0,234240.0
0V6Na986SNXm1CpreVF56E,I Wanna Make You Close Your Eyes,Dierks Bentley,2009.0,239119.0
0VdL8hH6JfvCBN6d40wPVb,Never Change,COIN,2020.0,229653.0
0vRf9VHirQgvz557JtnOVM,Smile,Nat King Cole,2011.0,175600.0
0wb21I1NV5uVUolRXIqlJF,Come And Get It ,Badfinger,1970.0,143213.0
0wy0bMwj5YjnHKGNPfx7ms,Far Too Much,Oscar Jerome,2023.0,262480.0
0XLnCEpaytIUJRvZZUmwjc,Gravel,BONES,2013.0,166000.0
0xzDbdFFnPz9CiQ0YZMq4K,I Will Remember You ,Sarah McLachlan,2006.0,213466.0
10zeulgcSIZxIU2MIy6dDp,Louisa,Casey Jones,2011.0,132893.0
11ajcVj3qSyyMPUpTJUP3y,Protect The Land,System Of A Down,2020.0,307644.0
11NHApIN2R0DZJDypPYeFJ,The Singularity,Ghostemane,2018.0,137230.0
15BlympuVSfZFROojEMY2M,Don't Let Me Down ,"The Chainsmokers, Daya, ILLENIUM",2016.0,218933.0
199YmqdvCCKuV2HrYcaAvK,Ephemeral,Led,2023.0,120456.0
1AtTmjAqrlmg9P2enDqVg9,Irrational Fears ,Pierce The Veil,2023.0,21560.0
1bgO8NY7q3WRxqKOJUyU2Y,Her Vacation,Goth Babe,2019.0,266041.0
1bromwDWGP3pD4Xvlfni6k,Down,Kutless,2002.0,168706.0
1camd9eP6HEbhNjXww8FKN,Sunflower,Michele Leigh,2020.0,165254.0
1dE907XH5t59VzB5GaSzRZ,Baby Don't Cut,Bmike,2017.0,249054.0
1eFYbcVZBTKcE0iFIYU5qk,Not Into You,Brooksie,2021.0,157800.0
