track_id,track_name,artist_name,release_year,duration_ms
00Jkj69jgE6emMHAay6NVb,Not A Common Man,Matt Smith,2016.0,190826.0
00RI7b6oZDjx6IQC2eH6bh,Hellfire,Barns Courtney,2017.0,168853.0
015pttd093IepgjMxRwmIW,Shaking Cages,Silent Theory,2021.0,255927.0
02xRKYZ1jY4B6utPa59qSf,tired of california,Nessa Barrett,2022.0,190800.0
03qh7qUB2zEPVWUc9isLCW,Could've Just Left Me Alone,Alexa Cappelli,2022.0,137500.0
042wd4CrF4WTAwiKs0F7Ve,First World Problemz / Nobody Carez,Brent Faiyaz,2017.0,350548.0
04rKs7Vh4lgVf4PKsRVHvK,Don't Take Me for Pomegranate,"I Set My Friends On Fire, LiL Lotus",2018.0,185759.0
05iBGzcnowSuZnvrjPMBhY,Faint,LICK DROP,2021.0,198820.0
05XhhXmBu1aUPNFLlTZ9XJ,What Was I Drinking,Tebey,2022.0,177413.0
06Xh1KvQofFghlSt33mFjc,Wishful Thinking,BENEE,2019.0,213373.0
079DqcJTYJ73UGutv1YZfN,Bliss,Vacant Home,2017.0,177157.0
07mVQTlTYABSSsNNasAPbI,This Is How It Goes,Billy Talent,2003.0,207133.0
08e8JgZLYWfl1UdmM4q5hU,Regret,Tsunami J.,2019.0,165173.0
0AccUlGBVISmBSYZl8ih4n,In Due Time,Killswitch Engage,2013.0,197573.0
0AKS1WVEOUSYa3D2ZyOJvM,Jealous,Eyedress,2020.0,122338.0
0AWIa92smCbQ3CVtTbTZJO,Lighting Up The Sky,Godsmack,2023.0,286194.0
0AyQKliKwDgdjlfsT2fhN7,27 Club,Dennis Lloyd,2021.0,159520.0
0BIzDMGOblVrdoXQFmzdbV,Snitches And Talkers Get Stitches And Walkers,Fall Out Boy,2006.0,170493.0
0Bxk3MUYZnmzflsoDNwSvW,Pretender ,AJR,2018.0,181350.0
0DF2L5iogeTm9DReWLoipE,House Party,Fred Wesley,2010.0,254533.0
0DmkBOGgEWMbUJlL6VwwF2,Helmet,Steve Lacy,2022.0,201546.0
0F8lmqyIbFfi4xf46q9mI5,Someone Tell the Boys,Samia,2017.0,193750.0
0Fl6uSIk91eAoP7EED77wg,Paranoid Love and Demons,VyOk,2021.0,199304.0
0GMxpb1QzgOffiN3WwEO10,Black of My Eyes,Bodysnatcher,2020.0,232634.0
0H8LHYMi4hzbwSzxp7DOxR,It’s All So Incredibly Loud,Glass Animals,2020.0,259060.0
0INUE1K7cEiE8VH63Rv5RJ,Happy?,Mudvayne,2005.0,216426.0
0Krq4yaaQ6s4aGNzvpuJUv,Shadows,Otherwise,2006.0,206853.0
0KuY5AT5pVnoVce9Wk9gJF,Still Hold Up,Kevin Gates,2020.0,168000.0
0LHPekHuEaRxfmATmlynuz,Lunchbox Friends,Melanie Martinez,2020.0,169868.0
0LkJMJnzUuopM6i7zzu7yN,Moving Beyond,Rare Americans,2023.0,181336.0
0LnNkDzIGaYKCvGbe5N9Wo,Nihilist,Architects,2016.0,171162.0
0LVdV9NG0y0ROxbYLpjbKc,Scatterbrain,Emei,2023.0,129938.0
0LylfQl65WJi6rDOgc4q69,Stone Cold Buggin',Young MC,1989.0,101266.0
0a0EYuSVqeVqV8kjN9bFYC,Techno Show,Peach Pit,2018.0,226613.0
0a6Dd5W3RRYAycbziJTfak,Losing My Religion,Sarah and the Sundays,2022.0,285865.0
0aCP9foBPsDBUfHoY6iJVg,Mirror,"Catch Your Breath, Ekoh",2023.0,171935.0
0aK32FiwfIMJDXlOFmcaPj,FUCK THE CLUB,"chillpill, Ravenna Golden",2020.0,113333.0
0b6fNjbiW4uF0W01GAfRVg,Leave a Light On,Papa Roach,2022.0,187609.0
0bGeJAKs5broSXPycMr7pN,Not Done Yet,Sticky Fingers,2019.0,226473.0
0ch80TXdFW4d96sSluL8TN,Tu Me Manques,"Stress, Xavier Naidoo",2002.0,231653.0
0cncrEtwzcdPPc6Xzy83Ht,Twelve/Seventeen,Bodysnatcher,2020.0,211500.0
0cT3tCr0iPQEJXf1pbFTmf,Past It All,Nonpoint,2004.0,222520.0
0dZLTxbaiGYOYIEv9eqePP,One World,Dire Straits,1985.0,220773.0
0e06Zwd1027jFtmrRbXAjl,It's On!,Korn,1998.0,269573.0
0ecM7uGyjgJnBliXS2fPP9,Morocco,Moon Taxi,2013.0,208053.0
0elXIl26ZrovBULLTrEGK6,Habits of My Heart,Jaymes Young,2014.0,210639.0
0gjcEL2CTKu3fT9qMVVu2w,Bad Kids,TTRRUUCES,2020.0,206626.0
0hzBN7DGgtjBsTyZwTTKRS,Mind Eraser,The Black Keys,2011.0,194586.0
0m1DJ5Jkv3kdnGrcZsJFmC,Only,Nine Inch Nails,2005.0,263093.0
0MWdp2A6fbqplNSqqBToWK,Small,chloe moriondo,2018.0,177561.0
0N7FBJoj6YEslcPOLc8OQ9,Somebody else.,Bad Omens,2022.0,236730.0
0nlyO7lNTOYB0gjDp7NI7H,Hands Up,"Merk & Kremont, DNCE",2018.0,165784.0
0oXIACfFIuXjBuiljuIQUB,Man Is Wolf To Man,Mountain Witch,2020.0,205502.0
0rFdjHoldrbHIBeUIjxi5a,The Razor's Apple,Fleshwater,2022.0,191236.0
0rgGUY2CmJ7mxiHE8Lvu5Z,Darker Days ,Woods of Desolation,2022.0,313475.0
0RjIU0QJ7N8yCFlvICdCNl,Can't Let Go,Prosevere,2015.0,259016.0
0RKN91f2Nhr3HhTrFuZCJ0,Dead Planet,Sonic Syndicate,2008.0,261893.0
0sjZd1zLJ2ISjx8Sh0hIlB,What I've Become,Lamb of God,2004.0,208792.0
0tCCW9tkh3NVFMpbalJ2zF,Bloom,AVOID,2018.0,193664.0
0UhWFmdlrBSmZ7A6bFD8L9,C'est la vie,Weathers,2021.0,194024.0
0uI52jGhm25C2Pp5t5gWSX,Song About James,AVOID,2020.0,234338.0
0UQsYC5sMh1hhNNKyd0fJc,Broken Pieces,"Apocalyptica, Lacey",2010.0,234506.0
0UrevdA79Y9qGw2HB9KfrW,Forever $cams,BabyTron,2023.0,227681.0
0uweMehqjIqmBg3eX4aVfC,Gang Steppin,Twothree,2024.0,143986.0
0vkgXUpp0kOVuLERbTSpMD,Stone Cold Buggin',Young MC,1989.0,101276.0
0Wc6cbF38a90b8wov9V63F,Like Strangers Do,AJ Mitchell,2019.0,160790.0
0WOFXBxSb7SXQoAnxSqUqL,Don’t Try,Extreme Music,2016.0,245760.0
0Y2kTZlKmbcsLSTHnLETBj,Atonement,Conquer Divide,2022.0,237115.0
0Y8OIyvMvyTpEUhfLupDoh,Things I Thought Were Mine,Alfie Templeman,2020.0,193165.0
0YoQbmG5luVEIPu0egv9qV,One Soul Down,Beefeater,1985.0,163600.0
0yOw6nJkFK1KPZLILWHQuv,Cemetery Blunts,"Xavier Wulf, BONES",2013.0,196179.0
0ypdKBbXnpQty55mzgeTJV,AfterLife,Five Finger Death Punch,2024.0,243560.0
0YvLVwdVZlnSjqfetfZcEi,By Myself,Linkin Park,2000.0,189800.0
0yxPUMQsHJXThYjYMoIJU5,Depression,Dax,2022.0,249259.0
0zHgtaaO1T7AQh4TA9AK1b,Ramblings of a Lunatic,Bears In Trees,2020.0,212013.0
0ZHLqpysyyJil6TlEJAZY9,Y.D.L.R.,Tory Lanez,2021.0,146000.0
10OyIs6KCOmDO19J5wWFPx,Call Out My Name ,The Weeknd,2023.0,242899.0
11EHmPRn09tznOmzwbhsGx,AROUND 10,Dwn2earth,2020.0,244515.0
11tjhGFhTOXajEmP6wH01w,Raw,Smino,2016.0,176628.0
141K1xJ176S0U6PPkc4Nee,I Just Wanna Know,NF,2016.0,226306.0
17NNwt8rUNhxAiRwr18EWI,Sol,Invent Animate,2014.0,229545.0
18Ex4J57MhJ7ou358jFXFx,Never Count On Me,Haywyre,2019.0,197333.0
18o8K3rNosL8tOxbCWgMmp,DTA,jxdn,2021.0,143878.0
192z5AU22EGicFz4xTpLQw,Paradox,"Aviana, Marcus Vik",2022.0,211000.0
19aYshJ803a6F4BXQSPrwR,All I Need,"khai dreams, Atwood",2018.0,147966.0
19kHfVssE0bhCAtRSPqWP2,Take Me as I Am,Rina Sawayama,2017.0,205573.0
19n2inOfXSxHlBuygEdCZV,Marmalade March,Psychedelic Porn Crumpets,2016.0,285733.0
19Y2yyOQZ5g3LpNqYnJ3wq,Bad,Royal Deluxe,2019.0,193800.0
1AwQUKgaYXYLNRAFlhv6q5,Destiny,Chloe Ament,2022.0,231040.0
1aXV8GrmQLvgoFtBPERP7E,Jealous,Eyedress,2019.0,122338.0
1B8FU7Mwu3zIHTUVZvdBmL,Dancing With The Devil,Demi Lovato,2021.0,243992.0
1BFEMnvVOmnTF9RPUArrT3,Until The End,Breaking Benjamin,2011.0,252466.0
1BOb5cwjb5TPt2OztMsQaD,Bad Mistake,Sum 41,2024.0,183175.0
1cFx6g4ytDsZAx9gmap4pR,Right Now,Fire From The Gods,2019.0,225026.0
1CmhkiXegdbj3Ewizvdg2Q,Best Friends,grandson,2017.0,179839.0
1cqbg5t3uyJGW07gPJM0gF,Bitchcraft,Drake Bell,2014.0,180053.0
1cYtqvYDbuzjgSJsAkTRaH,Bitter Taste,Three Days Grace,2009.0,240773.0
1dD6rZRfVkEIWlJt5tJCG9,Hardwired,Metallica,2016.0,189347.0
1DE0OZVUr52YPFonYSKpbu,Savlonic Supermix ,Savlonic,2014.0,214500.0
1DVNsTx4z2KK3sjQl0ftmo,D.O.Y.A.,Dead Rabbitts,2017.0,218331.0
1DYRRZ5rSlc1PopnB7azLZ,Swan Song,Lana Del Rey,2015.0,323475.0
1eJvRMKeEZIF2EugUsr5oq,Cesspool of Ignorance,Signs of the Swarm,2017.0,281320.0
1ETSQb9d7rKN9JPur7w2MU,The Fallen Interlude,blink-182,2003.0,132326.0
1F2AooneaxDdyxIeXuPgbY,Problems,Papa Roach,2019.0,183433.0
1F77lGM7TO9pCYi1bhE6kq,Prisoner Again,The Ongoing Concept,2023.0,238090.0
1fnU60yGjhsP1QY335rH2m,Downers,Greentea Peng,2019.0,218888.0
1fP4Wyu8UfMunef5sRxPbI,PEDESTAL,ØZI,2021.0,52000.0
1G38ACmklbW9cPXe0tyXWq,This Dreadful Emptiness,Austere,2009.0,544613.0
1h4qhOmbd7eQLeMNOg8nWQ,From the Inside,Linkin Park,2003.0,175506.0
1HftX0dUDoMgbXUI7Cjv7g,Falling,Michael Kiwanuka,2016.0,256880.0
1HlOGL1p6wlpOZatJ2NwFk,In Due Time,Killswitch Engage,2013.0,197573.0
1iO6q7aEXOTI3xQdVi2T3e,Walk the Globe,Krispel,2021.0,184406.0
1IPHnu3hVkawJMzkP97tcm,Sleepwalker,"akiaura, LONOWN, STM",2023.0,212000.0
1K2xN52r4uRTk3Vp9QFrgv,My Life Away,Unlike Pluto,2022.0,153600.0
1Ka4sX789wNftDGgjCO2h7,Falling Apart,Papa Roach,2015.0,188919.0
1KQc37jezhunxnOPhvdwSG,Numb Little Bug,Em Beihold,2022.0,169237.0
1LeFP0Wq4g4pVWE3hoCejE,Shake Ya,Amyl and The Sniffers,2019.0,197200.0
1LWYInY2Cl77jqgF4U1CJd,2009,glaive,2020.0,110338.0
1LZEzFGSO85DZ7XrV8mw0b,Smoke & Mirrors,"ALESTI, Kingdom Of Giants",2021.0,255080.0
1Q48QOI7NxJbUKtZXhIpAE,A MILLION MILES,Saul,2023.0,252866.0
1QAEAskaBF984aIoADeDlQ,What's Done Is Done,Stray View,2023.0,238073.0
1RMvEQj6e1BpiMo9PCaZqO,"""So I guess you already know what happened next...""","SIX, Brittney Mack",2022.0,72978.0
1SQcpGtOW3xiInjzf63I3l,Autonomy Shop,"Thank You, I'm Sorry",2023.0,141924.0
1UDXZdIcmzavcK3FGhJfyP,Ward of the State,Alpha Wolf,2017.0,123811.0
1UNPpd8XbOUkC4MryeQtYR,Woman of the Hour,Stela Cole,2020.0,169934.0
1UPEZ6SzsuZjkjksn5TvcN,Depths of Me,Creations,2013.0,211173.0
1UVffD20CfHJ2wD0x0as8L,Monsters,Matchbook Romance,2006.0,243746.0
1UwBdRQA4dMkNnixlApY7Z,No Name #3,Elliott Smith,2010.0,193240.0
1UxX0RyfqdhM4lpylbNv1W,Gimme Gimme Gimme,A Perfect Circle,2004.0,138640.0
1VkM4OtAnNtJa6XBT3SHR6,PINCH ME,young friend,2021.0,179363.0
1VmYPxD8UQRnrLnT4OwPT0,Hole In Your Head,Ekoh,2023.0,184083.0
1VSngtLdJhrlfHkLxTyOXK,King,Florence + The Machine,2022.0,280130.0
1WoVRr4ZKgIdshBwXCl3pq,Homesick,A Day To Remember,2009.0,236613.0
