track_id,track_name,artist_name,release_year,duration_ms
04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,Bebe Rexha,2018.0,195519.0
07VBqWH6NG8L2ad3l84UKk,R.I.P. 2 My Youth,The Neighbourhood,2015.0,205280.0
0Fqyclz7oQP6cs3plyBetL,I'm Charming,The Black Dahlia Murder,2005.0,174853.0
0ciHz919LVKoH4zgxyMPZ9,I Knew You Were Trouble.,Taylor Swift,2012.0,217973.0
0mYOjHOv0b4oVBdg1owEAM,Thatcherites,Billy Bragg,1996.0,253226.0
0NBlnydSfOcbVlMCbXRIB6,Savages,"Theory of a Deadman, Alice Cooper",2014.0,213213.0
0pHrAAe6sSVDeUeNe5IesY,MOTTO,NF,2023.0,217271.0
0pytLWYHCQdheIWB2Ay5Dk,Ambitious,Jack Harlow,2023.0,172609.0
0Q0IVlqMV64kNLlwjPj0Hl,Killing Me Softly With His Song,"Fugees, Ms. Lauryn Hill",1996.0,298666.0
0t2fRObdjYxROAjRhWFyYL,Head Hunter,Dance Gavin Dance,2019.0,173500.0
0YcL5K9pxtKVJNvvG2JVYx,Rockstar,Sweezy,2023.0,159409.0
154RpwFzrh2BCzunxQ0Ig9,Spineless Crow,Hands Like Houses,2012.0,213506.0
1d17u8gNyjAwhp9N9C7Io5,Son of Odin,Brothers of Metal,2017.0,239335.0
1DUSuNhF8P5vUGNPpQiZa5,My Bad,Khalid,2019.0,166101.0
1DZMBaVHQwUs7Fo6NAfzII,Too Many Bottles,Trevor Jackson,2019.0,188386.0
1ek6hIy0bOJ92bDTuF4zwl,Mando,"$tupid Young, Mozzy",2018.0,170805.0
1hUPOCqOukEl03lOs16DtN,Lover Of Mine,5 Seconds of Summer,2020.0,206973.0
1KkDdP9bno5M5IV0KnYBBY,The Hills x Swim,Ren,2023.0,122019.0
1OjmLuc3Kf34WcEAasCjsO,"Middle of Things, Beautiful Wife)","Sango, Xavier Omär",2013.0,222000.0
1TigSeViyt1B0M16WAHSHR,Made in America,"Original Broadway Cast Recording, Michael Lanning",2012.0,185093.0
02kqNEFXbcFg22pyvUyjmI,Careless Whisper ,George Michael,2006.0,303426.0
02S7nVLv5TR8FDZ5l9i39o,Thin Man,"Rockit Music, S.M.R.T.",2022.0,205798.0
1mGO8rwCE9zk7H06OxcU5m,History Has Its Eyes on You,"Christopher Jackson, Lin-Manuel Miranda, Original Broadway Cast of Hamilton",2015.0,97050.0
1w6EDue1Ze95AzYcjr8ED3,gaslight,Nessa Barrett,2022.0,196320.0
1xTJ4sE2wEv6eq4L9BoKQ0,Deformative,Black Eyes,2003.0,147626.0
23CMRsLRGVCDwCzDtYMq6p,Mentally Cheating,Natalie Jane,2022.0,180120.0
2AbPsvbxqYaNCvKXcJn1kV,Redemption,"Besomorph, Coopex, RIELL",2019.0,157500.0
2aIG5oXcYSJPkmS1pybszQ,Choose You,Elmiene,2023.0,251501.0
2XKFnwB6djxrJCjR3PdeRb,My Bad,Khalid,2019.0,163973.0
2zHetDvbVhumY7pmAPOdnX,youth,cleopatrick,2018.0,243157.0
2zwmugV2IbUwKq5JgOWEpv,Mary Jane,Mary J. Blige,1994.0,279240.0
35nnCsIwZWpuU0GI5ia6Bl,Liar,Lucas King,2020.0,616071.0
3AR6n1cWkEUpD9cFoTTe3p,Been Looking For,Whiskey Shivers,2014.0,128639.0
3BenycogbFx4HTvB7I1oz0,Andy the Frog,Bo Burnham,2013.0,193129.0
3BT6pJdmvpsjCHsbZg9fzF,I'm a Mess,Bebe Rexha,2018.0,195519.0
3f14ZwIm04kRnPiqBBIcui,When I Go,Dylan Conrique,2023.0,199173.0
3fjWT5aAvYOSQR9KFJaSEd,mama's house,push baby,2019.0,192773.0
3JIgATVeksytWG0t6BqjUF,Bad Habits,Daughtry,2018.0,210813.0
3MWlVSkoLS1e66nlZ2tuWJ,For Whom The Bell Tolls,J. Cole,2016.0,127880.0
3q9PVufz68TRvOao25IMNk,MOTTO,NF,2023.0,217271.0
3StdQf9neW5XYw1cQOVq0j,Down for the Ride,"SLAVES, Jessie Abbey",2019.0,298000.0
3TFXn86LF4e4bQC6q0SmmP,Yummy,Ayesha Erotica,2017.0,160940.0
42uXDKUhyAt5Exe1G5pKWJ,Forest Whitiker,Brother Ali,2003.0,180066.0
44Ssjb20kLO6FshLp0gNZE,Chucky vs. The Giant Tortoise,Dance Gavin Dance,2016.0,236253.0
47cQCF21TczFSmGfpd7c07,EX,Kiana Ledé,2018.0,222386.0
49DDAeHPiCZfaMCji08bqt,No Emotion,"nothing,nowhere.",2024.0,136421.0
4arqWYlOUc6KYMJxainVcE,Take Me as I Am,"Chris Lorenzo, The Streets",2019.0,186824.0
4ASKBviInEMMw4OGdhSoPq,Hour of Abhorrence,Signs of the Swarm,2016.0,349450.0
4f4BvbgsBVrMwZGJ8IdnOz,Anymore,Lø Spirit,2023.0,156176.0
4gT8lyyMbQGPl7DXZCq5Pn,Modern Guilt,Beck,2008.0,192466.0
4GtP6vdz0IGL5T0Jg8sBgH,Tell You The Truth,Trevor Jackson,2019.0,183884.0
4iX8iYTbkR3pHg0kfxHG4c,Slip It In,Black Flag,1984.0,377600.0
4K3gnzGmIjwkZhqOiYQ4r6,Young & Unafraid,The Moth & The Flame,2016.0,194813.0
