track_id,track_name,artist_name,release_year,duration_ms
00Ir6XQZhZsIHgGINS94tW,Froze,Ryan Caraveo,2023.0,129983.0
00qMkskAkuLiryozJpiuC3,Kill the Whites/Demise of a Dream,Mescaline Maniacs,2021.0,99201.0
00RLNHc2jkEjUoCUlFgPVT,welcome and goodbye,"Dream, Ivory",2018.0,140643.0
00rrtzvNjZpGhhtBPPvrnR,Frustration,Pentagram,2002.0,215986.0
027qrQMWGsHo13amwdaBkI,Can You Hear Me Now,The Score,2020.0,194235.0
03ERnTvSV5fy8WAyvA4uNP,Big Gangsta,Kevin Gates,2021.0,243462.0
03WuFsWpkytZ6c5iidS8Im,Bloodstream,Stateless,2007.0,313800.0
03z8cMcVQAFR5sE0ehxEBv,Rollin' Smoke,Bryan Andrews,2022.0,286153.0
04hPCx9Gc7FF7djBEMZFEw,GEMINI,Ethan Low,2023.0,175522.0
04ozu87GNHVPVgd8qhBUJU,Riot,Daisy Grenade,2023.0,137380.0
05iGyubJLugHzpWlPpq6hO,0000,D010930000,2021.0,68000.0
05vm2wrbDRrIj5Lybblnqs,Crave,Waterparks,2016.0,219053.0
06BK6MdQCenOtPfL9yCrkl,WE ARE THE MONSTERS,Kayzo,2018.0,182400.0
07Ekg4gU3GWSfuv6OLZ1A8,Black And Gold,ortoPilot,2012.0,203832.0
07kwKOMJ3dUmmf8VIgOiRH,Drowning,Atreyu,2023.0,165557.0
07lTfDmJ5jt2clkZNmZZmq,Theremin ,Covenant,1994.0,271866.0
08o7YsYkQXGjamCe9eDrrK,Match In The Rain,Alec Benjamin,2020.0,159006.0
08vWhyvJF7KYJYFQISZfLg,Eight Miles High ,"Crowded House, Roger McGuinn",1988.0,289985.0
098MjOfQMOjxqKkoewErxV,Scarlet Cross,Black Veil Brides,2021.0,217279.0
09Cb7L13fJqFRu79w3D8iI,Natural Disaster,Cory Wells,2024.0,192513.0
09FPFWM6OvYC2DI5YlchKd,SmokingLongDoors,"BONES, Lyson",2021.0,162063.0
09UjqEum1ptrgtyiGv2wsj,Buckshot,AVOID,2018.0,213649.0
09whmgWfGHPys6k3M9Athv,Faster,Within Temptation,2011.0,263973.0
0AY9J8diAJOBpVYpIJJqJW,Not Perfect,Yung Milly,2023.0,234858.0
0BXo6iv3xtYEZakyBPfn9K,Trouble In Paradise,Huey Lewis & The News,1980.0,191933.0
0C4bx13JIMSWOAxd8TaoVq,Under the Graveyard,Ozzy Osbourne,2019.0,297682.0
0C5X8RJXZNuGO2CfQJumb5,The Violence,Asking Alexandria,2019.0,208395.0
0CnjziflUO3AMG8G5IkXGz,Paralyzed,Imminence,2019.0,252882.0
0CWfsGlbmT0ZcAV3WetvPf,welcome and goodbye,"Dream, Ivory",2018.0,140643.0
0EDQwboQDmswDRn58wcslg,Kingston,Faye Webster,2019.0,202160.0
0EFgBCfmXaGqYEtEKKlUR5,Journey,Lushi,2022.0,140785.0
0ELW8sXGFv99olto9OtTZE,Self Defined,Maya Payne,2016.0,233792.0
0EXX5F4Rgs2Y0wAjwAb8ZN,Better Vibes,The Plot In You,2015.0,252026.0
0FlDXblb4uSXEWg5XWnBTy,Raging on a Sunday,Bohnes,2018.0,208880.0
0FVBNWIlR3iXykrESfiLja,Dig Into Me,Superheaven,2015.0,215032.0
0GxUJLTF4RanPVwY1YpcZ3,Every Second,Mina Okabe,2021.0,182076.0
0GzuiFuhrVe1UT8MRTrink,And We Run,"Within Temptation, Xzibit",2014.0,180000.0
0HEckRWFSknIupbGzavk5d,Hundred,Khalid,2019.0,277080.0
0HFb9ouBk4UmuYT6gvvElo,The Hunter,SOFT PLAY,2015.0,180573.0
0HJsaW48EYnIxH627aRHWN,The Body Electric,Rush,1984.0,299973.0
0HrGzCf2C0C75beCx6aUqu,The Gospel,Knocked Loose,2014.0,156224.0
0IAJHHJLACmiCXI6u6w2gu,Like That,Devin Sunshine,2023.0,152914.0
0IGXkVRn0uCsgn4FvIfpgB,The Unforgiven II,Metallica,1997.0,396440.0
0IoDnan49U7PAGa6cjcBjb,Vitality,The Wise Man's Fear,2015.0,182068.0
0JWpbl3Ppr71ONy6VDP5vu,Hold Me Now,Caskets,2021.0,239848.0
0KAiuUOrLTIkzkpfpn9jb9,Drive By,Train,2012.0,195973.0
0LagWpYHMaQjbCeAIoOKVg,Under the Graveyard,Ozzy Osbourne,2020.0,297682.0
0LCjnRBeR7CLjk5WW8TsEg,The Show,Kerris Dorsey,2011.0,193786.0
0LwwQLNOCvQF9xqD9rJ0Un,Bleue,Wale the Sage,2021.0,154000.0
0M0ed6RnadI5zUXRXWbhgr,Better Sorry Than Safe,Halestorm,2009.0,192346.0
0a7dm5jcVp3j0sQeq6GYyN,Creepin n Lurkin,Bill $Aber,2017.0,114471.0
0aant8ZuGMiICvuZl1Dg22,Do You Fear for Your Child,My Life With The Thrill Kill Kult,1988.0,335250.0
0aF6XIMZkChrAdM2iVj0dJ,The Killing Words ,Queensrÿche,1986.0,236373.0
0aMqNFBj9KtPTD3c3tByRT,Floyd The Barber,Nirvana,1989.0,138047.0
0aNR6X577yLyosQc7OMjR8,Castle Walls,Styx,1977.0,358866.0
0aPMVuh7I4qIeKtXzs6arW,Out Of Control,The Ghost Inside,2014.0,218934.0
0aVBZdOpUSwgi6LyXEelWa,Extinguish The Stars,Pathways,2016.0,355647.0
0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,"Majestic, Boney M.",2021.0,186209.0
0b3Ja5VkSZNRYoH6AygvSz,ARE WE HAVING FUN YET?,Negative 25,2022.0,158771.0
0bBVRsBbgnzW8wmdlD7Apq,Overkill,Men At Work,1981.0,227133.0
0cOYHB7qvqtIxYhOUC1BbH,Siren's Song,Deadships,2016.0,248540.0
0d29ZVNUaxWOtUFzElL3B9,"Nameless, Faceless",Courtney Barnett,2018.0,194866.0
0d9RfWRsy66HXi281rAgCR,Last Rites,Black Veil Brides,2014.0,212546.0
0eBYSImMbB5jCoXzfhLCs2,ketamine,siouxxie sixxsta,2021.0,125533.0
0eY7JSkeqEUppJOIaxEz9T,Bite of Me,NIKI DEMAR,2020.0,178155.0
0fRwGdXKf5jcE3Fj8BLFCN,Counterbalance,Threat Signal,2006.0,338782.0
0gJvqi9QyASOCtJu99tytc,Because of You,Kelly Clarkson,2004.0,219493.0
0gWoC0IaAIiXLjB6BTH3G2,American Bad Dream,Kane Brown,2019.0,198000.0
0h1ednFFd4xK5SCO8mXNOe,Tryna Be,Giveon,2022.0,170653.0
0hCNHNnXTpUXsTpi7C8RsC,Nightmare,Fame on Fire,2024.0,201110.0
0hHpikIVW5d97oQ0XlcOeJ,Locked out of Heaven,Gideon,2023.0,243812.0
0hnHoQbEQOL4YUZ4SO6xbe,Calling All the Monsters,China Anne McClain,2011.0,206675.0
0hpWmAB3L0OJ3VBeMkOQUu,Kool,Bring Me The Horizon,2024.0,228470.0
0hSNLu836vjmk3aTH8MWtP,The Lake of The Dead,Veronica,2023.0,193019.0
0jbj6nxqS6qwJPkIWiRPV1,Destroyer of Worlds,Coyote Kid,2019.0,167946.0
0jFp0az0xVeNIEzf0RMjUN,Crooked Soul,Dayseeker,2019.0,235013.0
0jUF37sGy8GwxbDdtnJtL2,Irreversible,"The Bloody Beetroots, Anders Friden",2017.0,185333.0
0kKZHi7RpiZtYeKzuCUsza,I'm Not Down,The Clash,1979.0,186066.0
0kyUoKAxI6UriX2nXZmmbA,You should be scared of me,DAMONA,2022.0,143162.0
0lMqNGDphWpGsIak2OhnyG,Slimeball,Young Nudy,2018.0,172853.0
0lMYQaJNpyo4NIdLiv5eXY,Neurotic,"Three Days Grace, Lukas Rossi",2022.0,197253.0
0meKbAXQpVUTzoTXzT2TT9,Out of My Life,Cyhra,2019.0,197466.0
0Mka9kWv6P518Cz1ga626I,Slick As A Swan,Nice Gii,2023.0,132041.0
0MZGwYb5mTATbmoi671wEg,Leave Her,LUCKI,2023.0,137026.0
0nDuGo5k2UTQyZVdC8EvP6,Die To Save You,Sick Puppies,2013.0,233413.0
0NOh9M0tIGappRjE5oVaUc,Legion of Monsters,Disturbed,2015.0,263640.0
0NWqNXBJTpXbkI5rPWNy3p,All I Know,"The Weeknd, Future",2016.0,321026.0
0O0KepHsIBKPaAw8RuNkao,Viva La Vida,Weezer,2010.0,245986.0
0oO1AbL92F6329z13C2qQH,Talk,Yeat,2022.0,174857.0
0oO6C8chEKmA9uJGmn3ONP,Wait For You,Atreyu,2009.0,241373.0
0oOkf4Qcn5hnKNjaUXq4Oa,Disposable Paradise,Hindsight,2016.0,244516.0
0OSUzh60QhpkCybtjjERDv,I'm Just A Singer,The Moody Blues,1972.0,262346.0
0OtL3L332F3gxSB2cuYsc0,Skin & Bones,Lund,2020.0,217942.0
0pcf5jtdI7YMjsFx3m5eM8,Switch Phones,Kylie Cantrall,2021.0,132000.0
