track_id,track_name,artist_name,release_year,duration_ms
01lewSOj9ZaXplh9TpNKL4,Happy Birthday,Stevie Wonder,1980.0,357026.0
01oPNCtTniFT3YM4K3ksTf,Opposite of Adults,Chiddy Bang,2010.0,191600.0
04YArtLIKkv66wL0aGBLRJ,Send a Prayer,The Elders,2006.0,297266.0
08LwMWf5Tcfsd752EPzFV0,i n t e r l u d e,J. Cole,2021.0,133021.0
09ZhQvb5AaikCX8XjK6gxU,STAINS ON MY SOUL,Houndrel,2022.0,124000.0
0BpYTh0O2ut5wvt0QtDGt4,Beauty In The Benz,"Tory Lanez, Snoop Dogg",2019.0,237452.0
0CjJqkWOpIUXdem5hUcxAk,Momma,Kendrick Lamar,2015.0,283120.0
0CKt2RA2gYQqUKejm0Rq0m,Almost,Thomas Rhett,2019.0,191591.0
0EbLzgRAninN9VKUooiweR,One of These Nights ,Eagles,1976.0,291685.0
0ECyNhNVEEbHGWuhWVVXFF,Ciara's Prayer,"Summer Walker, Ciara",2021.0,114075.0
0EpJ8wx5lWw5eYiZJiUDY5,It Could Have Been You,Whiteheart,1995.0,234960.0
0I5kjGNr00JqwjIR8vPqt6,Flyhigh,Soulfly,2000.0,288040.0
0eGuSOy6uvEVgc4l0ZqROX,"Out of Sight, Out of Mind",Cut Wide Open,2021.0,285882.0
0juMDnoo3u3uDJ32wjK2BF,Hold Me Up,Khruangbin,2024.0,229437.0
0jW4YGXcbUBsMjQa7aHuSf,It Only Takes a Taste,"Drew Gehling, Jessie Mueller",2016.0,188800.0
0MrshSNylL13OabK61ryy6,Born2Run,Penelope Scott,2020.0,154128.0
0MTBiPyJ4u3XoS1JKBktdb,Fear,Hensonn,2022.0,131384.0
0o1gSbZhchNiUXp4IGxbsx,Lights,Styx,1979.0,278240.0
0qbkaD0VpNvTjvqCtQcVVQ,ROCKSTAR,"Body Party, PSY Sound",2021.0,151927.0
0qDh00qePgockS9SuBap61,DADE COUNTY SUICIDE,"KUTE, Pouya",2023.0,127222.0
0QGcEP2kWfJVm8ZTxxKgGO,Float Your Boat,Ryan Follese,2017.0,166506.0
0tl18rSrmOT0bFbZR3HeUZ,Overcoming the Past,William Ross,2022.0,268680.0
0UIBnxvtn9vvw9d0e1lHW2,You Can Be Mean,Indigo De Souza,2023.0,145000.0
0UrWr7Jnu1heq1o99ZwUd0,Youth of the Nation,P.O.D.,2001.0,256240.0
0VmTayc6Xw6YujsNXLWWJ2,Sex and Drugs and Rock 'n' Roll ,"Ian Dury, The Blockheads",2012.0,253053.0
0vQZ4DMWUNyCqUJdqfEkfx,Sometimes,"Blxst, Zacari",2022.0,166678.0
0Wk1F7rr43ANfiyAgHZxOs,It's Alright,2nd Exit,2016.0,176884.0
0ZyATfTcQN9uXNbdJEDlAP,Welcome to the Show,Cody Johnson,2019.0,160520.0
122br9dGnrQQgo5j19qeif,Faith,"Russ, Jadakiss",2021.0,219660.0
127BD1zjmo6iCRqZgh3wxR,Good Taste,Levi Hummon,2020.0,157639.0
136e9j0T8ljiLkkPnhbdjx,My Name Is Jonas ,Weezer,2004.0,219906.0
17AJsL6e9pH8YyiSQ35TCv,Thank Her For That,Owen Barney,2020.0,134887.0
17heMsM62Ulf6F8AzLZlzx,Im Tasty Freestyle,Miss Ayesha,2022.0,64921.0
17TSJlshgQ5zu0e8dedAla,Does To Me,"Luke Combs, Eric Church",2019.0,223320.0
1DkCEVhyXnpkFar2YEgPVY,Keep Their Heads Ringin’,Dr. Dre,1996.0,238386.0
1DvzeS8m1AUj9DlTn1VCMT,Never Enough,"Eminem, 50 Cent, Nate Dogg",2004.0,159760.0
1dx9FK2w7DxMyKnPcBeptQ,Show Me,Stereomud,2003.0,173333.0
1FdjGON62xLxgPZW8BGeHS,Period,City Girls,2018.0,154106.0
1fePsTHhGgbQBi2Nrzvnh1,You Were Perfect & I'm Sorry,Mickey Darling,2021.0,214000.0
1fGbRQE3MEkRIp2iogFErO,Gratitude,"Earth, Wind & Fire",1998.0,207200.0
1GVkrFVc94CTjm9bdSmGjp,Feet Don't Fail Me Now,Joy Crookes,2021.0,198800.0
1hJrWWK74fKL7eeV3CFOvF,Sweet Virginia,The Rolling Stones,1972.0,266560.0
1Hmx0O7UnXLPv9kPoNBcku,Thanks,Volbeat,2010.0,222173.0
