track_id,track_name,artist_name,release_year,duration_ms
01xii9km4yIWSzpap2lQUY,Cool Slut,Chastity Belt,2015.0,171586.0
046xO0zoMraWcBOt7fGldF,For Pete's Sake,The Monkees,2008.0,129412.0
05QGaQnoBuda27vXxpuiRU,Unknown / Nth,Hozier,2023.0,280106.0
05uGBKRCuePsf43Hfm0JwX,Brain Damage,Pink Floyd,1973.0,226666.0
05vOO3lOjpYGTj0W7W4RtU,La Jolla,Wilbur Soot,2020.0,243949.0
06RzVT7uWMYv2fPTyiOy1m,Money Convo,21 Savage,2017.0,213426.0
06uiDyZsrwnZ0o0q1Y8Ax2,Mr. Bojangles,Nitty Gritty Dirt Band,2008.0,234613.0
07aNMcIA2SdyCCloOZ4D6b,NightDividesTheDay,"The Virus and Antidote, Lambo Lawson",2018.0,96008.0
0AcHbiMs86CCgprvc7E1gs,i Shyne,"Carnage, Lil Pump",2018.0,153350.0
0Ajm7DFmbGEURySKm7G2jf,Big Green Tractor,Jason Aldean,2009.0,204200.0
0D2fhu8YeX344izprjfSW9,Friday Night Placebo,Sidney Gish,2016.0,220908.0
0D8OdE68Ppw1jXCA2oCQTo,GRiZTRONICS II VIP,"GRiZ, Subtronics",2022.0,145655.0
0DuLRYIpXs0T3qOo5N8yJz,Chunks,Jank,2018.0,178760.0
0Fjy4haCEoFaiJME5pvbgB,Try Again,Andy Shauf,2020.0,228819.0
0FqMZmwe9qJ3nR5FuYpyoY,Same Ol' Situation,Mötley Crüe,1989.0,252906.0
0H9b2QQSDEuW7BBO5xXvSJ,Francesca,Weezer,2022.0,207837.0
0HTdp0zc8NELjhPTbEp7PR,Stone Killer,26fix,2023.0,208293.0
0INehbMZOFPnaPBAjK97i3,I'll Be Fine,Juice WRLD,2018.0,244193.0
0KZd3gIQKUJuF7NArGtDA3,The New Pokerap,Starbomb,2022.0,107761.0
0LSXLznhy5NWnwxV0TNAXo,Untouchables,Generation X,1981.0,219040.0
0aPZbnkMoWJaJ5CNVLCj8S,That Should Be Me,Justin Bieber,2010.0,232720.0
