track_id,track_name,artist_name,release_year,duration_ms
00UsgVZAqUnP99yp7SRPo2,Owe You Anything,Lauren Lakis,2021.0,222075.0
01iyCAUm8EvOFqVWYJ3dVX,Dancing Queen,ABBA,1976.0,230400.0
05MBWUZ248dwoQXIUFm42Q,What Would I Do?,Strawberry Guy,2019.0,234000.0
06afNrOhWSYuEbk56bvPpD,FULL HOUSE,MOBB,2016.0,220312.0
09buqaOhxQghIqa2rXDG1K,Verano,Paranoid 1966,2021.0,152000.0
0D7L4pBEGv8ni1cRfaTdMJ,Play That Funky Music,Wild Cherry,2008.0,301800.0
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,ABBA,1976.0,230400.0
0cD5w3qEDDNtoi30sP6LaA,I'm A Midnight Mover,Bobby Womack,1969.0,122573.0
0dUy3C3QqeG2yQQShM45av,No Way,"SIX, Adrianna Hicks",2022.0,251911.0
0jvN7eQJJt4nxQzgQfZ1SP,Spirit In The Sky ,Norman Greenbaum,1969.0,242893.0
0MK6lVnmhVulpP62vkZBWV,Locals,"underscores, gabby start",2023.0,258084.0
0MtfUEHee9p6RsqAwW8gyF,My Home,Myles Smith,2023.0,206250.0
0NIotBOwHkVRocCRzi41da,Shot of Love,AC/DC,1990.0,236520.0
0OqEgegavGRhSTjGRtoAFL,Family Curse,Law of Power,2022.0,99791.0
0P6fEgTn3cxLLyYTJYoYGj,Shambala ,Three Dog Night,1973.0,204106.0
0q21FNwES2bbtcduB6kjEU,Dancing in the Moonlight,King Harvest,1973.0,181133.0
0r9vDgNrCw6jVvfAmebHTt,I'm O.K.,Styx,1978.0,344400.0
0rvib0Rp7IQLHBnsqZusB2,Pink Silk Bonnet,LoverboyBass,2022.0,114893.0
0sp89fjocibnO6nNOcYxIB,I Got Friends,Warmduscher,2018.0,117466.0
0UeTH2N7EddbhCP7wnRk7E,Pale Machine,bo en,2013.0,277593.0
0WcD4kWCZeAWkQI6KmU8L8,How We Win,FWLR,2018.0,215719.0
0WebpqjAhluHB2WREW9x4R,"Hold In, Hold On",Kid Bloom,2020.0,159666.0
0wJ7AiBCMGRh0TkITZhAWC,Gemini Dream,The Moody Blues,1981.0,249546.0
0Y2SrByf4G3kbq2nBEHQRn,Spirit in the Sky,Norman Greenbaum,1996.0,239600.0
0Z269waGsLA94ADa6oKG8m,Dream Into Action,Howard Jones,1985.0,227293.0
12F0Tx51i90nRUwzxBcufz,Watching Over Me,Thousand Foot Krutch,2009.0,258626.0
1635wWSdp29PO3GxYhy991,Bel Mercy,Jengi,2022.0,169606.0
179LeyCJeOwr5Qfk93stua,Soccer Practice,Jonny McGovern,2010.0,245840.0
1bmRAbf103jkG8O31kARzp,Coffee,beabadoobee,2023.0,207629.0
1c6gTQhgNKPTvGQ5zyyXWm,harmony,beluga stone,2019.0,192022.0
1CnTAkLCWL8Uvsr1BDiX8F,Spirit in the Sky,Norman Greenbaum,2012.0,240906.0
1fDFIckfX373VPKvpIzFAl,I Need Some of That,Weezer,2021.0,199666.0
1fOrdq5lDitklPno27DeHV,In the Mood ,Robert Plant,1983.0,322960.0
1KKFrs4CkKQvqP1DWHwJ9y,Real American,Rick Derringer,2014.0,201546.0
1MwPvniPtqPkXwtQDFiJdb,Night Vision,"Vansire, Barrie",2022.0,117733.0
1N9hFgcgWYbGINUKjhvcK6,just like magic,Ariana Grande,2021.0,149900.0
1OzY7RRZh3EcIKn7VKZUTx,Dancing in the Moonlight ,Toploader,2000.0,233573.0
1P4uVwRfyWKqyZdLIjJ1WE,Alright ,Maxton Waller,2024.0,214570.0
1RBQR8HjZUPLikoIjD67Ep,Rock! Rock!,Def Leppard,1983.0,234753.0
1U1TpPbxYRFteIeT0Az4kM,Bruise,BETWEEN FRIENDS,2023.0,179144.0
1VVFdjWU8cyVcn4Cn1CD6r,Funky Kingston,The Maytals,1973.0,295066.0
1Wdj4wRDYS7aT4CoPS0mAH,You Are Enough,Sleeping At Last,2014.0,180086.0
1WrRkZ0LxyOV8GD4GrgiWM,You Got It,Roy Orbison,2010.0,203920.0
1Xt5UE21As64Jll20JMrxV,Never Wrong,Disturbed,2015.0,213053.0
1YfdZkKYJKGSyzJ5LMtEcW,Like A Lady,Pom Poko,2021.0,166364.0
086PZ9r1W6iNjZyL8qOqTS,DOWN,JO YURI,2023.0,206064.0
0E2NCsPqw2jMpBuui126Uo,Air,ARTMS,2024.0,147360.0
0GdZqKPBrvkpo7mk2OyHtf,Back Then Right Now,Tyler Hubbard,2023.0,201485.0
0GypaBmhyN8666FikwVlgt,home,"WILLOW, Jon Batiste",2024.0,183466.0
0Juciz8gOjrO89qw5KwQV5,Call Me Irresponsible ,Bobby Darin,1964.0,124560.0
