track_id,track_name,artist_name,release_year,duration_ms
3heBIU1G3GTA6NkbZdBCfp,"I Feel Fine, Pt. 1",Sex Bob-Omb,2023.0,56821.0
4Gv6lS9SMvaT6nS6yMYuUC,Star,Mitski,2023.0,179346.0
4Qbjmdlv1eZDD1u8SWe1pt,Alive,Pearl Jam,1991.0,341160.0
0mtAt0QEQaeBSYK5MeTcK6,"I Feel Fine, Pt. 2",Sex Bob-Omb,2023.0,38249.0
2oSCXi24mnHAegVedDkTW6,The Green and the Town,AJR,2013.0,305906.0
5ijSUALHfNot7KSafyLI4E,Star,Mitski,2023.0,179346.0
0F1HvyXoHnQHSDeZm7qxO9,Fancy Pants,Bend Sinister,2014.0,187933.0
6JM5pGkZn1GQQlG0KuuwbF,Safe,Julianna Barwick,2020.0,299648.0
1YhJTm664ZT5xheQLBDgd1,Californian Soil,London Grammar,2021.0,221387.0
2MMjGgFlsHgS3RKq1UQQxr,Home,Clouds And Thorns,2017.0,210465.0
4dTuWV0mEOwe0JCxUV8vDF,Change Your Mind,Sister Hazel,2000.0,259666.0
0puXWVBRAxGsvLiDdvgmz7,The Moment #2,Kirk Franklin,2011.0,426760.0
21z6OpNQIS9qD7xyty7OeR,Floetic,Floetry,2002.0,246493.0
2XySpvkA1yt8vvzJOE12uH,Etude Blue,Baird,2020.0,87786.0
7jPTpEEN6x8w1dHbbT0fYy,So Glad You Made It,"Dirty Heads, Nick Hexum",2017.0,178653.0
3zZ7jyrOgsj5Z5fRTK2wc8,Up To Something ,"Gas Street Music, Taku Mudere",2022.0,287238.0
3k6l9zjNep96gSPSLTSLr1,Saturday Morning Cuddles,The Beanies,2018.0,212876.0
2fRlJWRIJ7NpvIgKFjgwo0,Gotta Good Feelin',Pigeon John,2020.0,202760.0
5rVhCRiuhLC54Et1p5FEgE,Feel Free,"Ricky Blaze, Jim Jones",2011.0,264733.0
0Zdv6euo5a7sUpjw0ZdbvC,Feeling Better,EVAN GIIA,2021.0,178546.0
5IxzuDXsHIfodX6UrOUlap,Lost,ofSoft,2022.0,104000.0
6AampgQTwWiZw4pgZMpHj5,Dead Now,Frightened Rabbit,2013.0,248137.0
