track_id,track_name,artist_name,release_year,duration_ms
01z2fBGB8Hl3Jd3zXe4IXR,Come Back to Earth,Mac Miller,2018.0,161840.0
03C0lOgIOKlsJpaF5KtWDE,Santa Monica,Theory of a Deadman,2005.0,246546.0
05HdUoSnxdg9qapIOBwkHq,Happy,CommonWealth,2019.0,177945.0
06pinSuXt6vx6NWG3wqvrf,Without You,Oh Wonder,2015.0,224740.0
06TuMCjDEYjTOJScCRzmjf,Don't Let Go,En Vogue,1997.0,291880.0
09NZFd8Mm6cFhZfsPRk0CE,Too Bad,HEX,2019.0,191043.0
0AoBY2Y3qs6dtGgOD6c91N,Alone,Burna Boy,2022.0,221746.0
0BeBYa53MXh2aQmzc64BHd,The Last Song I'm Wasting on You,Evanescence,2016.0,247060.0
0C71NJD4BhvPopTwI7a8KV,Seven Years,Saosin,2003.0,192786.0
0CmXXEwul09Kf8X68lPA5l,Missing You,Case,2001.0,284666.0
0COnTxJkjs9DkiIKYTXmqv,Trapped,The Word Alive,2016.0,236377.0
0CzeAbfKFnxnWjwo5iYiCG,Brothers In Arms,Dire Straits,1985.0,424000.0
0DYxsMisQBvn96JmcgPqsP,Pronouncement of the King,Diamonds to Dust,2022.0,218091.0
0FeKXParpIZgzNzzOeJiZY,Leaders of the Free World,Elbow,2005.0,371026.0
0JEqGkvUiMTQmFY6sgL9kg,No One,Alicia Keys,2007.0,253813.0
0LCWyLFPXIeg1CIC1NS712,The Show Must Go On ,Queen,2018.0,271611.0
0Ldlex2J63L6Dop9Pk2Rz9,Bully,Shinedown,2012.0,242746.0
0bd1M9tcBw0rLRqlM0MvOQ,Good Man,Devour the Day,2014.0,210866.0
0bGeJAKs5broSXPycMr7pN,Not Done Yet,Sticky Fingers,2019.0,226473.0
0fg90aW4anpJCjDkid3tEL,I Wanted To Die Alone,Donny,2017.0,222093.0
0gZp88SA5OcujHLDGkxtI3,Only One,Yellowcard,2003.0,257399.0
0hV6uZacjjxRUWPByByRdt,Drinking Again,Aretha Franklin,1964.0,208413.0
0iTRaGiDId80CearDCsyLC,MEMORY_FRACTURE,"nothing,nowhere.",2022.0,258920.0
0jTD5qVm2VgKxqXKhnVVOr,Paralyzed,LANDMVRKS,2022.0,216100.0
0m1JXimp3o6AP7yBtCXCKd,CHILDREN OF SORROW,HEALTH,2023.0,200624.0
0NlOYIFwPCWAaCxFEedLd5,Suicide Blues,Maggie Jones,1995.0,188656.0
